is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life,spearman
True,-3.4222131239526647,0.01022,13.08496,0.56563,COTI-USDT,THETA-USDT,0,27.0069,0.913
True,-3.029908759444934,0.03219,16503.9363,4914.34253,COTI-USDT,YFI-USDT,0,18.44452,0.846
True,-3.2419470103012675,0.01768,0.10587,-0.00594,COTI-USDT,RSR-USDT,0,19.0559,0.934
True,-4.749201879030136,7e-05,211.72388,56.39344,COTI-USDT,LTC-USDT,0,11.95253,0.914
True,-2.8636019987163577,0.04975,0.04262,0.03008,COTI-USDT,VET-USDT,0,26.45089,0.457
True,-3.0801782424768103,0.02806,9.17311,2.51415,COTI-USDT,QTUM-USDT,0,20.6709,0.772
True,-2.9693927503615605,0.03785,0.04376,0.00353,COTI-USDT,AMB-USDT,0,28.03244,0.813
True,-3.140051846229502,0.02373,0.55422,0.23948,COTI-USDT,POWR-USDT,0,31.99917,0.474
True,-2.9478833008308176,0.04006,0.48925,0.16332,COTI-USDT,ICX-USDT,0,25.12895,0.702
True,-3.926719050216033,0.00185,0.09342,-1.31238,ZEC-USDT,ONDO-USDT,0,17.43731,0.926
True,-3.5398141445779205,0.00702,80.5301,19.43299,COTI-USDT,DASH-USDT,0,20.38119,0.883
True,-3.2437702244860813,0.01759,0.10117,0.03112,COTI-USDT,GALA-USDT,0,15.29209,0.572
True,-3.043732757631151,0.03101,2.5242,0.62804,COTI-USDT,XTZ-USDT,0,28.21232,0.784
True,-2.9217854960509135,0.04287,57.32551,-2.93404,COTI-USDT,UNFI-USDT,0,34.49766,0.906
True,-3.7588631621202087,0.00336,0.00077,0.00401,ACE-USDT,LINA-USDT,0,22.03017,0.71
True,-3.359309960680283,0.01243,0.5119,0.44056,ACE-USDT,BOND-USDT,0,22.23661,0.874
True,-3.0306709674568157,0.03213,0.00116,0.003,ACE-USDT,AMB-USDT,0,31.35767,0.677
True,-4.047612926621419,0.00118,0.12834,0.39738,ACE-USDT,LIT-USDT,0,16.23168,0.885
True,-3.266246829149196,0.01646,0.0084,0.2654,ACE-USDT,POWR-USDT,0,33.25011,0.191
True,-2.872926180357958,0.04859,1.65049,0.46091,COTI-USDT,KAVA-USDT,0,24.84411,0.788
True,-3.361549659748839,0.01234,206.658,10.24948,COTI-USDT,AVAX-USDT,0,25.28284,0.911
True,-3.409164420637985,0.01065,2363.15691,170.0687,COTI-USDT,BCH-USDT,0,21.9611,0.91
True,-3.4051342981501524,0.01079,0.03992,0.00261,COTI-USDT,STMX-USDT,0,22.08863,0.871
True,-3.1640287458520415,0.02216,7.08392,1.52303,COTI-USDT,WAVES-USDT,0,27.7655,0.789
True,-3.0392329573937795,0.03139,11.61486,0.8248,COTI-USDT,IMX-USDT,0,35.10415,0.756
True,-3.0054239822087636,0.03439,1.33436,0.43339,COTI-USDT,LUNA2-USDT,0,12.19589,0.55
True,-3.2505941113154044,0.01724,0.00702,0.00282,COTI-USDT,LEVER-USDT,0,32.81543,0.13
True,-3.0172629012977166,0.03331,1097.35908,452.15263,COTI-USDT,BNB-USDT,0,28.73087,0.693
True,-3.1944009018038813,0.02031,1.85651,0.30489,COTI-USDT,STORJ-USDT,0,25.24786,0.86
True,-3.2732745982263567,0.01612,11.91757,1.86523,COTI-USDT,MASK-USDT,0,24.41031,0.882
True,-3.8304077397053904,0.00261,32.75741,35.56353,COTI-USDT,EGLD-USDT,0,26.87327,0.237
True,-3.0917480512279805,0.02717,0.121,0.79631,COTI-USDT,SFP-USDT,0,19.40246,0.072
True,-2.9801336535311185,0.03679,35.48358,498.35766,API3-USDT,BNB-USDT,0,28.38641,0.709
True,-3.2367391045326896,0.01795,0.11688,0.10091,API3-USDT,1INCH-USDT,0,24.46273,0.874
True,-3.8271815504884708,0.00264,0.42528,2.26515,API3-USDT,MASK-USDT,0,17.68427,0.905
True,-4.201189443827013,0.00066,0.35333,1.14808,DOT-USDT,QTUM-USDT,0,13.61246,0.889
True,-3.026753225011595,0.03247,0.01578,0.19651,DOT-USDT,POWR-USDT,0,34.95705,0.402
True,-3.579378655971853,0.00617,0.0574,0.03054,DOT-USDT,MANA-USDT,0,20.26931,0.918
True,-3.7228923236245506,0.0038,0.01988,0.08314,DOT-USDT,ICX-USDT,0,17.53054,0.835
